record_id,Latitude,Longitude,main_damag,grouped_da,confidence,geo_result,occupancy,address,parsed_add,address_di,country,parish,town,suburb,street,place,wind_speed
BLDG20481,15.36888489,-61.40398378,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20482,15.36900386,-61.40386957,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20483,15.36870643,-61.40392667,Completely Destroyed,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20484,15.36885157,-61.4040623,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20485,15.36823291,-61.4042479,Completely Destroyed,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20486,15.36835903,-61.40363876,Completely Destroyed,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20487,15.36848752,-61.40329374,Completely Destroyed,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20488,15.36900386,-61.40419555,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20489,15.36919897,-61.4040861,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20490,15.36947261,-61.40350789,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20491,15.3694274,-61.40356738,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20492,15.36957493,-61.40343175,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20493,15.3699033,-61.403565,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20494,15.36917042,-61.40208497,Completely Destroyed,Damaged Buildings,nan,"15.3955699,-61.3933158,tertiary",tertiary,"Warner Road, Canefield, Jimmit, Saint Paul Parish, Dominica","Warner Road,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Warner Road,170
BLDG20495,15.36923467,-61.40190889,Completely Destroyed,Damaged Buildings,nan,"15.3955699,-61.3933158,tertiary",tertiary,"Warner Road, Canefield, Jimmit, Saint Paul Parish, Dominica","Warner Road,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Warner Road,170
BLDG20496,15.36930605,-61.40214208,Completely Destroyed,Damaged Buildings,nan,"15.3955699,-61.3933158,tertiary",tertiary,"Warner Road, Canefield, Jimmit, Saint Paul Parish, Dominica","Warner Road,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Warner Road,170
BLDG20497,15.36907048,-61.40169236,Completely Destroyed,Damaged Buildings,nan,"15.3783761,-61.4072474,primary",primary,"Edward Olivier Leblanc Highway, Canefield, Jimmit, Saint Paul Parish, Dominica","Edward Olivier Leblanc Highway,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Edward Olivier Leblanc Highway,170
BLDG20498,15.36948689,-61.40187082,Completely Destroyed,Damaged Buildings,nan,"15.3955699,-61.3933158,tertiary",tertiary,"Warner Road, Canefield, Jimmit, Saint Paul Parish, Dominica","Warner Road,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Warner Road,170
BLDG20499,15.36963204,-61.4012712,Highly Damaged,Damaged Buildings,nan,"15.3955699,-61.3933158,tertiary",tertiary,"Warner Road, Canefield, Jimmit, Saint Paul Parish, Dominica","Warner Road,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Warner Road,170
BLDG20500,15.36976529,-61.40110939,Highly Damaged,Damaged Buildings,nan,"15.3955699,-61.3933158,tertiary",tertiary,"Warner Road, Canefield, Jimmit, Saint Paul Parish, Dominica","Warner Road,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Warner Road,170
BLDG20501,15.37011507,-61.40200883,Highly Damaged,Damaged Buildings,nan,"15.3955699,-61.3933158,tertiary",tertiary,"Warner Road, Canefield, Jimmit, Saint Paul Parish, Dominica","Warner Road,Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,Warner Road,170
BLDG20502,15.36930605,-61.39923438,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20503,15.36882064,-61.39950326,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
BLDG20504,15.36933936,-61.39627195,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20505,15.36937743,-61.39740695,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20506,15.3697058,-61.39802085,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20507,15.37001513,-61.39763062,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20508,15.36857556,-61.39503939,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20509,15.36889678,-61.39486093,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20510,15.36848038,-61.39409236,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20511,15.3688135,-61.39433983,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20512,15.36830005,-61.39515667,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20513,15.36952496,-61.39438741,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20514,15.37202815,-61.37973945,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Campbell, Saint Paul Parish, Dominica","Canefield,Campbell,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Campbell,None,Canefield,None,170
BLDG20515,15.37186159,-61.37987746,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Campbell, Saint Paul Parish, Dominica","Canefield,Campbell,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Campbell,None,Canefield,None,170
BLDG20516,15.37255639,-61.37978466,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Campbell, Saint Paul Parish, Dominica","Canefield,Campbell,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Campbell,None,Canefield,None,170
BLDG20517,15.37102054,-61.3800289,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Campbell, Saint Paul Parish, Dominica","Canefield,Campbell,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Campbell,None,Canefield,None,170
BLDG20518,15.37085287,-61.38030836,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Campbell, Saint Paul Parish, Dominica","Canefield,Campbell,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Campbell,None,Canefield,None,170
BLDG20519,15.37109337,-61.38014068,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Campbell, Saint Paul Parish, Dominica","Canefield,Campbell,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Campbell,None,Canefield,None,170
BLDG20520,15.37117806,-61.37991881,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Campbell, Saint Paul Parish, Dominica","Canefield,Campbell,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Campbell,None,Canefield,None,170
BLDG20521,15.37095618,-61.37978501,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Campbell, Saint Paul Parish, Dominica","Canefield,Campbell,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Campbell,None,Canefield,None,170
BLDG20522,15.37201976,-61.38361807,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20523,15.37207687,-61.38373228,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20524,15.37205022,-61.38381604,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20525,15.37213278,-61.38724805,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20526,15.37296084,-61.38881136,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20527,15.3733701,-61.38927059,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20528,15.37375558,-61.38959896,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20529,15.37323447,-61.38811894,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20530,15.37351049,-61.38813797,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20531,15.37364374,-61.38798093,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20532,15.37390132,-61.38604761,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20533,15.37339568,-61.38643428,Moderately Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20534,15.37374665,-61.38652648,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20535,15.37371096,-61.38533378,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20536,15.37356225,-61.38519993,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20537,15.37371988,-61.38514045,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20538,15.37365445,-61.38495306,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20539,15.37349681,-61.38561336,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20540,15.37356225,-61.38595541,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20541,15.37356522,-61.38468835,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20542,15.37407383,-61.38655028,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20543,15.37424039,-61.38430466,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20544,15.37382101,-61.38354621,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20545,15.37373476,-61.38196684,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20546,15.37431178,-61.38207986,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20547,15.37418091,-61.3808366,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Campbell, Saint Paul Parish, Dominica","Canefield,Campbell,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Campbell,None,Canefield,None,170
BLDG20548,15.37358901,-61.38074439,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20549,15.37439803,-61.37925128,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Campbell, Saint Paul Parish, Dominica","Canefield,Campbell,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Campbell,None,Canefield,None,170
BLDG20550,15.3744129,-61.37912933,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Campbell, Saint Paul Parish, Dominica","Canefield,Campbell,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Campbell,None,Canefield,None,170
BLDG20551,15.37439506,-61.38624095,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20552,15.37419578,-61.38664248,Completely Destroyed,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Mahaut, Saint Paul Parish, Dominica","Canefield,Mahaut,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Mahaut,None,Canefield,None,170
BLDG20553,15.37145047,-61.3972638,Highly Damaged,Damaged Buildings,nan,"15.3380393,-61.3886297,suburb",suburb,"Canefield, Jimmit, Saint Paul Parish, Dominica","Canefield,Jimmit,Saint Paul Parish,Dominica",[object BSON],Dominica,Saint Paul Parish,Jimmit,None,Canefield,None,170
